url,sender,sender_fixed,code,notes
https://twitter.com/3dplanjeanane,3dplanjeanane,3dplanjeanane,Instructional Leader,
https://twitter.com/bbarent,bbarent,bbarent,Instructional Leader,check on #NGSSchat (see how they introduce self)
https://twitter.com/cjcochrane21,cjcochrane21,cjcochrane21,Instructional Leader,
https://twitter.com/drweatherhead,drweatherhead,drweatherhead,Instructional Leader,
https://twitter.com/fredende,fredende,fredende,Instructional Leader,
https://twitter.com/heatherarich,heatherarich,heatherarich,Instructional Leader,
https://twitter.com/krenaep,krenaep,krenaep,Instructional Leader,
https://twitter.com/myscihi,myscihi,myscihi,Instructional Leader,
https://twitter.com/ngssfresno,ngssfresno,ngssfresno,Instructional Leader,
https://twitter.com/richbacolor,richbacalor,richbacolor,Instructional Leader,richbacolor
https://twitter.com/richbacolor,richbaccalor,richbacolor,Instructional Leader,richbacolor
https://twitter.com/thinksci,thinksci,thinksci,Instructional Leader,
https://twitter.com/timbrzezinski,timbrzezinski,timbrzezinski,Instructional Leader,
https://twitter.com/vogelwendi,vogelwendi,vogelwendi,Instructional Leader,
https://twitter.com/cahoisy,cahoisy,cahoisy,Organization,
https://twitter.com/casas_jimmy,casas_jimmy,casas_jimmy,Organization,
https://twitter.com/dailystem,dailystem,dailystem,Organization,
https://twitter.com/drspruitt,drspruitt,drspruitt,Organization,
https://twitter.com/flabellinajg,flabellinajg,flabellinajg,Organization,
https://twitter.com/katesor1027,katesor1027,katesor1027,Organization,
https://twitter.com/katienovakudl,katienovakudl,katienovakudl,Organization,
https://twitter.com/ngss_tweeps,ngss_tweeps,ngss_tweeps,Organization,
https://twitter.com/ngssphenomena,ngssphenomena,ngssphenomena,Organization,
https://twitter.com/openscied,openscied,openscied,Organization,
https://twitter.com/starrscience,starrscience,starrscience,Organization,
https://twitter.com/stem4real,stem4real,stem4real,Organization,
https://twitter.com/stemteachtools,stemteachtools,stemteachtools,Organization,
https://twitter.com/tdishelton,tdishelton,tdishelton,Organization,
https://twitter.com/tedwillard2061,tedwillard2061,tedwillard2061,Organization,
https://twitter.com/tolerance_org,tolerance_org,tolerance_org,Organization,
https://twitter.com/triscicurious,triscicurious,triscicurious,Organization,
https://twitter.com/kdrury,kdrury,kdrury,Other,
https://twitter.com/mrmiller,mrmiller,mrmiller,Other,
https://twitter.com/rarapenguin,rarapenguin,rarapenguin,Other,
https://twitter.com/cindylkern,cindylkern,cindylkern,Researcher,
https://twitter.com/drloriandersen,drloriandersen,drloriandersen,Researcher,
https://twitter.com/dtcampbe,dtcampbe,dtcampbe,Researcher,
https://twitter.com/lizette_burks,lizette_burks,lizette_burks,Researcher,
https://twitter.com/mrsljscience,mrsljscience,mrsljscience,Researcher,
https://twitter.com/okheelee_,okheelee_,okheelee_,Researcher,
https://twitter.com/philipbell,philipbell,philiplbell,Researcher,philiplbell
https://twitter.com/philiplbell,philiplbell,philiplbell,Researcher,
https://twitter.com/philliplbell,philliplbell,philiplbell,Researcher,philiplbell
https://twitter.com/tjscience,tjscience,tjscience,Researcher,
https://twitter.com/2footgiraffe,2footgiraffe,2footgiraffe,Teacher,
https://twitter.com/bk3dsci,bk3dsci,bk3dsci,Teacher,
https://twitter.com/gretchenmilary,gretchenmilary,gretchenmilary,Teacher,
https://twitter.com/ibchemmilam,ibchemmilam,ibchemmilam,Teacher,
https://twitter.com/keithpiccard,keithpiccard,keithpiccard,Teacher,
https://twitter.com/kimdchem,kimdchem,kimdchem,Teacher,
https://twitter.com/les93630,les93630,les93630,Teacher,
https://twitter.com/miss_schilling_,miss_schilling_,miss_schilling_,Teacher,
https://twitter.com/mrpchemistry,mrpchemistry,mrpchemistry,Teacher,
https://twitter.com/pentaclethra,pentaclethra,pentaclethra,Teacher,
https://twitter.com/sciressoehl,sciressoehl,sciressoehl,Teacher,
https://twitter.com/shchemistry,shchemistry,shchemistry,Teacher,
https://twitter.com/ashlryblock,ashlryblock,ashleysbloch,Teacher,ashleysbloch
https://twitter.com/hood_biologist,hood_biologist,hood_biologist,,Account suspended